epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,4661.98,1.25308,0.52704,0.73404,0.91692,0.61071,0.76014,0.43775,1.2837,0.77139,0.72729,0.0063172,0.0063172,0.0063172
95,4709.58,1.2729,0.51449,0.72817,0.92512,0.61603,0.76902,0.44884,1.22587,0.76048,0.72654,0.0062776,0.0062776,0.0062776
96,4758.19,1.25482,0.50773,0.72694,0.91234,0.60336,0.76032,0.46398,1.19465,0.74445,0.72653,0.006238,0.006238,0.006238
97,4803.84,1.24374,0.50731,0.73052,0.91135,0.60233,0.75121,0.47848,1.15184,0.70482,0.72687,0.0061984,0.0061984,0.0061984
98,4852.08,1.22074,0.49768,0.72666,0.91396,0.60253,0.75525,0.47051,1.18224,0.69802,0.72667,0.0061588,0.0061588,0.0061588
99,4898.76,1.19918,0.50195,0.73631,0.91678,0.60379,0.75492,0.43863,1.26984,0.75726,0.72647,0.0061192,0.0061192,0.0061192
100,4945.63,1.19385,0.50445,0.72919,0.92285,0.59594,0.7443,0.4732,1.12744,0.70715,0.72608,0.0060796,0.0060796,0.0060796
101,4994.84,1.14162,0.47452,0.72855,0.94215,0.58835,0.75791,0.53379,0.9651,0.65478,0.72493,0.00604,0.00604,0.00604
102,5042.1,1.1675,0.48313,0.72422,0.93708,0.60103,0.76895,0.47644,1.14103,0.77821,0.72562,0.0060004,0.0060004,0.0060004
103,5092.6,1.13829,0.47863,0.71904,0.92887,0.60591,0.77872,0.45615,1.26998,0.82249,0.7259,0.0059608,0.0059608,0.0059608
104,5139.56,1.12478,0.46619,0.71651,0.93361,0.60667,0.78292,0.48098,1.19011,0.79935,0.72484,0.0059212,0.0059212,0.0059212
105,5185.9,1.14003,0.47675,0.72902,0.93164,0.60693,0.78465,0.44806,1.28492,0.86098,0.72532,0.0058816,0.0058816,0.0058816
